#{"t_start": 1781379320.56771, "env_id": "CarRacing-v3"}
r,l,t
-52.054795,1000,31.955881
-49.152542,1000,62.092358
-26.421405,1000,92.233068
-20.138889,1000,124.408324
-36.877076,1000,158.175477
-26.045016,1000,193.972708
-58.064516,1000,288.628589
-71.014493,1000,324.45571
-37.908497,1000,360.382115
-19.860627,1000,395.628483
-40.397351,1000,428.488132
-12.052117,1000,462.747704
6.312292,1000,556.904037
221.83908,1000,594.05812
228.07571,1000,627.803092
233.333333,1000,662.301043
41.618497,1000,694.87438
114.046823,1000,728.119987
118.637993,1000,820.43268
828.825623,1000,851.10374
159.146341,1000,879.815168
174.44795,1000,908.251602
255.072464,1000,938.429361
591.22807,1000,965.431916
288.888889,1000,992.839684
528.571429,1000,1082.807385
251.097179,1000,1116.334392
348.028674,1000,1149.710641
360.207612,1000,1183.067207
286.206897,1000,1216.957432
439.285714,1000,1250.264456
669.480519,1000,1343.504445
268.821293,1000,1377.840021
224.404762,1000,1411.736716
850.381679,1000,1445.686587
344.089457,1000,1478.950922
503.225806,1000,1513.16724
65.109034,1000,1589.588242
430.351438,1000,1619.098411
671.341463,1000,1650.050709
874.169742,1000,1680.429807
64.0,1000,1710.751693
219.078947,1000,1739.392155
237.278107,1000,1825.51703
360.992908,1000,1857.070293
418.644068,1000,1887.498964
458.718861,1000,1918.893713
855.782313,1000,1952.532162
857.894737,1000,1988.421154
426.027397,1000,2024.106048
668.953069,1000,2118.152184
492.715232,1000,2153.072168
539.751553,1000,2187.901447
707.692308,1000,2222.165993
749.264706,1000,2256.505494
909.1,909,2287.819149
282.758621,1000,2370.948669
845.736434,1000,2405.6885
305.857741,1000,2440.36695
803.654485,1000,2474.650954
323.452769,1000,2507.984111
846.488294,1000,2541.28117
636.05948,1000,2640.505595
817.857143,1000,2670.073557
873.282443,1000,2700.691155
853.642384,1000,2732.378531
734.615385,1000,2765.19165
362.093863,1000,2798.107839
722.222222,1000,2877.628373
828.571429,1000,2911.665834
796.666667,1000,2945.630892
618.032787,1000,2980.393817
626.315789,1000,3014.737345
783.802817,1000,3049.241047
664.011799,1000,3083.056461
298.62543,1000,3163.030539
857.854406,1000,3198.430723
655.395683,1000,3234.498768
819.463087,1000,3270.18559
421.172638,1000,3304.08073
403.875969,1000,3339.170756
674.193548,1000,3418.641146
872.332016,1000,3451.472411
831.407942,1000,3483.623889
602.702703,1000,3516.113031
635.294118,1000,3550.804264
828.825623,1000,3584.939772
531.768953,1000,3681.737707
438.461538,1000,3716.370448
278.125,1000,3746.435585
730.882353,1000,3775.411977
536.363636,1000,3808.135855
459.566787,1000,3842.595802
884.848485,1000,3938.519679
433.742331,1000,3970.570565
766.894198,1000,4003.817394
683.950617,1000,4036.588224
858.990536,1000,4069.357234
872.222222,1000,4101.287789
896.774194,1000,4134.094325
889.247312,1000,4228.21201
822.360248,1000,4260.732226
893.75,1000,4293.516468
558.862876,1000,4325.176445
695.847751,1000,4355.21962
264.820847,1000,4384.467669
859.558824,1000,4459.085564
845.255474,1000,4488.94285
889.51049,1000,4519.481645
880.519481,1000,4553.556421
911.1,889,4582.42032
889.43662,1000,4615.287762
832.307692,1000,4707.861801
886.348123,1000,4741.092639
855.32646,1000,4773.575475
840.594059,1000,4802.632824
921.8,782,4826.223042
842.675159,1000,4861.095002
926.6,734,4886.364256
727.922078,1000,4982.852773
635.849057,1000,5016.347074
832.075472,1000,5048.238663
895.967742,1000,5082.832338
765.443425,1000,5117.23672
843.75,1000,5153.077151
922.1,779,5244.444346
735.57047,1000,5284.364465
273.417722,1000,5319.240782
882.222222,1000,5356.174025
907.3,927,5388.225242
