#{"t_start": 1781498531.4854097, "env_id": "CarRacing-v3"}
r,l,t
867.97153,1000,39.022301
867.509025,1000,68.522942
844.272446,1000,100.577569
847.368421,1000,129.243243
919.8,802,155.665973
881.617647,1000,186.670328
869.072165,1000,311.162352
841.37931,1000,338.677441
563.461538,1000,364.737686
871.326165,1000,395.401536
727.464789,1000,425.301211
868.253968,1000,456.517773
885.815603,1000,567.400916
876.833977,1000,596.359186
727.464789,1000,627.193089
929.9,701,649.827324
872.136223,1000,680.104607
864.85623,1000,709.389941
885.964912,1000,738.23281
934.1,659,836.090778
872.881356,1000,863.688111
889.583333,1000,893.853755
872.65625,1000,924.813181
860.526316,1000,954.415026
784.146341,1000,986.463134
849.832776,1000,1106.695907
913.1,869,1133.109823
849.526814,1000,1163.746004
889.169675,1000,1192.045925
928.8,712,1216.478913
867.078189,1000,1249.1366
887.055016,1000,1279.874431
921.7,783,1388.473418
938.4,616,1407.114987
931.1,689,1427.944639
868.652038,1000,1458.933132
391.582492,1000,1491.994158
914.7,853,1518.965647
858.730159,1000,1550.679479
282.85873,974,1679.693619
873.484848,1000,1712.912062
774.598071,1000,1743.705767
861.038961,1000,1773.663267
886.111111,1000,1803.783327
868.152866,1000,1835.508336
855.414013,1000,1869.676859
855.974843,1000,1979.389289
896.515679,1000,2009.536718
866.329966,1000,2036.32186
886.348123,1000,2064.896199
893.80805,1000,2095.19013
869.78852,1000,2123.342714
918.3,817,2231.062301
884.555985,1000,2260.332323
885.347985,1000,2290.55576
928.7,713,2309.627094
893.220339,1000,2337.807789
896.491228,1000,2369.384065
924.4,756,2392.00901
875.384615,1000,2514.645266
939.8,602,2530.424315
921.3,787,2552.401454
867.741935,1000,2582.39778
881.132075,1000,2611.906561
776.363636,1000,2643.453863
911.7,883,2671.584242
880.0,1000,2788.118516
887.012987,1000,2818.746283
920.5,795,2841.684882
883.333333,1000,2871.5847
924.2,758,2895.579756
809.090909,1000,2924.927536
786.206897,1000,3038.857079
927.0,730,3060.351286
817.218543,1000,3092.63541
910.9,891,3121.59076
862.068966,1000,3152.869623
931.5,685,3175.221009
930.9,691,3201.81761
576.666667,1000,3235.986418
372.60274,1000,3365.985646
888.929889,1000,3400.674237
915.5,845,3430.170573
884.555985,1000,3459.603195
882.817869,1000,3490.613408
886.666667,1000,3520.459241
878.26087,1000,3629.252366
937.0,630,3645.890276
892.1875,1000,3674.83849
896.753247,1000,3704.260517
874.358974,1000,3732.628597
874.074074,1000,3760.814233
872.60274,1000,3789.66027
886.531987,1000,3896.765508
928.3,717,3916.570993
357.912458,1000,3944.55464
829.447853,1000,3974.138953
880.13245,1000,4002.787838
827.007299,1000,4031.527063
889.208633,1000,4139.41187
888.970588,1000,4168.206821
869.283276,1000,4197.056467
923.4,766,4218.344369
880.582524,1000,4247.582711
873.684211,1000,4276.641971
896.884735,1000,4305.622287
893.127148,1000,4413.305918
883.443709,1000,4442.183124
797.897898,1000,4471.705878
746.846847,1000,4500.465257
892.907801,1000,4528.262613
858.333333,1000,4557.229869
892.031873,1000,4663.176766
753.372434,1000,4691.89489
885.559567,1000,4720.907478
889.726027,1000,4750.462763
922.1,779,4771.784108
930.7,693,4792.661281
929.3,707,4812.800293
892.307692,1000,4919.341646
888.549618,1000,4947.549505
819.463087,1000,4974.277187
900.1,999,5003.483428
893.103448,1000,5031.800276
